"file","source","row","col","width","height","avg_brightness","stddev"
"vitorino_185318_r2c3.jpg","Captura de tela 2026-07-23 185318.png","2","3","1080","1350","41,96","52,26"
"vitorino_185318_r2c4.jpg","Captura de tela 2026-07-23 185318.png","2","4","1080","1350","40,1","63,1"
"vitorino_185329_r1c1.jpg","Captura de tela 2026-07-23 185329.png","1","1","1080","1350","62,8","74,7"
"vitorino_185329_r1c2.jpg","Captura de tela 2026-07-23 185329.png","1","2","1080","1350","53,21","66,72"
"vitorino_185329_r1c3.jpg","Captura de tela 2026-07-23 185329.png","1","3","1080","1350","49,38","56,44"
"vitorino_185329_r1c4.jpg","Captura de tela 2026-07-23 185329.png","1","4","1080","1350","49,82","59,49"
"vitorino_185329_r2c1.jpg","Captura de tela 2026-07-23 185329.png","2","1","1080","1350","31,41","57,13"
"vitorino_185329_r2c2.jpg","Captura de tela 2026-07-23 185329.png","2","2","1080","1350","29,53","33,12"
"vitorino_185329_r2c3.jpg","Captura de tela 2026-07-23 185329.png","2","3","1080","1350","52,54","78,78"
"vitorino_185329_r2c4.jpg","Captura de tela 2026-07-23 185329.png","2","4","1080","1350","45,07","60,82"
"vitorino_185339_r1c1.jpg","Captura de tela 2026-07-23 185339.png","1","1","1080","1350","53,16","67,62"
"vitorino_185339_r1c2.jpg","Captura de tela 2026-07-23 185339.png","1","2","1080","1350","58,16","64,74"
"vitorino_185339_r1c3.jpg","Captura de tela 2026-07-23 185339.png","1","3","1080","1350","40,07","40,71"
"vitorino_185339_r1c4.jpg","Captura de tela 2026-07-23 185339.png","1","4","1080","1350","30,83","53,8"
"vitorino_185339_r2c1.jpg","Captura de tela 2026-07-23 185339.png","2","1","1080","1350","57,92","67,46"
"vitorino_185339_r2c2.jpg","Captura de tela 2026-07-23 185339.png","2","2","1080","1350","68,17","98,54"
"vitorino_185339_r2c3.jpg","Captura de tela 2026-07-23 185339.png","2","3","1080","1350","41,22","40,39"
"vitorino_185339_r2c4.jpg","Captura de tela 2026-07-23 185339.png","2","4","1080","1350","32,17","58,61"
"vitorino_185349_r1c1.jpg","Captura de tela 2026-07-23 185349.png","1","1","1080","1350","41,08","52,12"
"vitorino_185349_r1c2.jpg","Captura de tela 2026-07-23 185349.png","1","2","1080","1350","36,6","46,02"
"vitorino_185349_r1c3.jpg","Captura de tela 2026-07-23 185349.png","1","3","1080","1350","71,82","82,64"
"vitorino_185349_r1c4.jpg","Captura de tela 2026-07-23 185349.png","1","4","1080","1350","31,97","36,5"
"vitorino_185349_r2c1.jpg","Captura de tela 2026-07-23 185349.png","2","1","1080","1350","29,72","44,58"
"vitorino_185349_r2c2.jpg","Captura de tela 2026-07-23 185349.png","2","2","1080","1350","43,42","50,53"
"vitorino_185349_r2c3.jpg","Captura de tela 2026-07-23 185349.png","2","3","1080","1350","30,72","46,38"
"vitorino_185349_r2c4.jpg","Captura de tela 2026-07-23 185349.png","2","4","1080","1350","38,63","46,23"
"vitorino_185400_r1c1.jpg","Captura de tela 2026-07-23 185400.png","1","1","1080","1350","27,68","45,07"
"vitorino_185400_r1c2.jpg","Captura de tela 2026-07-23 185400.png","1","2","1080","1350","44,87","56,52"
"vitorino_185400_r1c3.jpg","Captura de tela 2026-07-23 185400.png","1","3","1080","1350","9,51","22"
"vitorino_185400_r1c4.jpg","Captura de tela 2026-07-23 185400.png","1","4","1080","1350","60,08","64,58"
"vitorino_185400_r2c1.jpg","Captura de tela 2026-07-23 185400.png","2","1","1080","1350","52,67","61,07"
"vitorino_185400_r2c2.jpg","Captura de tela 2026-07-23 185400.png","2","2","1080","1350","49,47","60,69"
"vitorino_185400_r2c3.jpg","Captura de tela 2026-07-23 185400.png","2","3","1080","1350","52,85","59,16"
"vitorino_185400_r2c4.jpg","Captura de tela 2026-07-23 185400.png","2","4","1080","1350","55,21","65,14"
"vitorino_185410_r1c1.jpg","Captura de tela 2026-07-23 185410.png","1","1","1080","1350","76,92","78,31"
"vitorino_185410_r1c2.jpg","Captura de tela 2026-07-23 185410.png","1","2","1080","1350","34,87","50,02"
"vitorino_185410_r1c3.jpg","Captura de tela 2026-07-23 185410.png","1","3","1080","1350","49,52","66,82"
"vitorino_185410_r1c4.jpg","Captura de tela 2026-07-23 185410.png","1","4","1080","1350","52,51","69,01"
"vitorino_185410_r2c1.jpg","Captura de tela 2026-07-23 185410.png","2","1","1080","1350","39,28","55,82"
"vitorino_185410_r2c2.jpg","Captura de tela 2026-07-23 185410.png","2","2","1080","1350","60,67","61,89"
"vitorino_185410_r2c3.jpg","Captura de tela 2026-07-23 185410.png","2","3","1080","1350","29,41","46,95"
"vitorino_185410_r2c4.jpg","Captura de tela 2026-07-23 185410.png","2","4","1080","1350","13,17","23,39"
"vitorino_185420_r1c1.jpg","Captura de tela 2026-07-23 185420.png","1","1","1080","1350","17,43","23,9"
"vitorino_185420_r1c2.jpg","Captura de tela 2026-07-23 185420.png","1","2","1080","1350","40,18","43,2"
"vitorino_185420_r1c3.jpg","Captura de tela 2026-07-23 185420.png","1","3","1080","1350","56,31","60,89"
"vitorino_185420_r1c4.jpg","Captura de tela 2026-07-23 185420.png","1","4","1080","1350","49,56","61,77"
"vitorino_185420_r2c1.jpg","Captura de tela 2026-07-23 185420.png","2","1","1080","1350","74,02","69,73"
"vitorino_185420_r2c2.jpg","Captura de tela 2026-07-23 185420.png","2","2","1080","1350","27,92","43,97"
"vitorino_185420_r2c3.jpg","Captura de tela 2026-07-23 185420.png","2","3","1080","1350","53,08","69,33"
"vitorino_185420_r2c4.jpg","Captura de tela 2026-07-23 185420.png","2","4","1080","1350","33,65","49,31"
"vitorino_185435_r1c1.jpg","Captura de tela 2026-07-23 185435.png","1","1","1080","1350","54,98","58,09"
"vitorino_185435_r1c2.jpg","Captura de tela 2026-07-23 185435.png","1","2","1080","1350","39,61","42,28"
"vitorino_185435_r1c3.jpg","Captura de tela 2026-07-23 185435.png","1","3","1080","1350","56,02","60,3"
"vitorino_185435_r1c4.jpg","Captura de tela 2026-07-23 185435.png","1","4","1080","1350","49,56","61,77"
"vitorino_185435_r2c1.jpg","Captura de tela 2026-07-23 185435.png","2","1","1080","1350","74,11","69,63"
"vitorino_185435_r2c2.jpg","Captura de tela 2026-07-23 185435.png","2","2","1080","1350","28,72","45,08"
"vitorino_185435_r2c3.jpg","Captura de tela 2026-07-23 185435.png","2","3","1080","1350","53,36","69,73"
"vitorino_185435_r2c4.jpg","Captura de tela 2026-07-23 185435.png","2","4","1080","1350","33,65","49,31"
"vitorino_185447_r1c1.jpg","Captura de tela 2026-07-23 185447.png","1","1","1080","1350","33,96","39,38"
"vitorino_185447_r1c2.jpg","Captura de tela 2026-07-23 185447.png","1","2","1080","1350","26,13","43,84"
"vitorino_185447_r1c3.jpg","Captura de tela 2026-07-23 185447.png","1","3","1080","1350","38,74","35,83"
"vitorino_185447_r1c4.jpg","Captura de tela 2026-07-23 185447.png","1","4","1080","1350","29,61","52,99"
"vitorino_185447_r2c1.jpg","Captura de tela 2026-07-23 185447.png","2","1","1080","1350","43,37","50,33"
"vitorino_185447_r2c2.jpg","Captura de tela 2026-07-23 185447.png","2","2","1080","1350","30,74","54,43"
"vitorino_185447_r2c3.jpg","Captura de tela 2026-07-23 185447.png","2","3","1080","1350","40,99","56,04"
"vitorino_185447_r2c4.jpg","Captura de tela 2026-07-23 185447.png","2","4","1080","1350","27,84","37,78"
"vitorino_185459_r1c1.jpg","Captura de tela 2026-07-23 185459.png","1","1","1080","1350","42,43","46,11"
"vitorino_185459_r1c2.jpg","Captura de tela 2026-07-23 185459.png","1","2","1080","1350","38,5","42,44"
"vitorino_185459_r1c3.jpg","Captura de tela 2026-07-23 185459.png","1","3","1080","1350","88,77","84,38"
"vitorino_185459_r1c4.jpg","Captura de tela 2026-07-23 185459.png","1","4","1080","1350","85,52","86,63"
"vitorino_185459_r2c1.jpg","Captura de tela 2026-07-23 185459.png","2","1","1080","1350","80,56","72,7"
"vitorino_185459_r2c2.jpg","Captura de tela 2026-07-23 185459.png","2","2","1080","1350","82,22","69,53"
"vitorino_185459_r2c3.jpg","Captura de tela 2026-07-23 185459.png","2","3","1080","1350","65,19","68,8"
"vitorino_185459_r2c4.jpg","Captura de tela 2026-07-23 185459.png","2","4","1080","1350","36,91","53,58"
"vitorino_185511_r1c1.jpg","Captura de tela 2026-07-23 185511.png","1","1","1080","1350","46,31","51,71"
"vitorino_185511_r1c2.jpg","Captura de tela 2026-07-23 185511.png","1","2","1080","1350","89,47","78,39"
"vitorino_185511_r1c3.jpg","Captura de tela 2026-07-23 185511.png","1","3","1080","1350","55,28","62,51"
"vitorino_185511_r1c4.jpg","Captura de tela 2026-07-23 185511.png","1","4","1080","1350","104,48","91,92"
"vitorino_185511_r2c1.jpg","Captura de tela 2026-07-23 185511.png","2","1","1080","1350","15,54","43,03"
"vitorino_185511_r2c2.jpg","Captura de tela 2026-07-23 185511.png","2","2","1080","1350","33,49","44,92"
"vitorino_185511_r2c3.jpg","Captura de tela 2026-07-23 185511.png","2","3","1080","1350","55,62","75,62"
"vitorino_185511_r2c4.jpg","Captura de tela 2026-07-23 185511.png","2","4","1080","1350","67,14","65,91"
"vitorino_185525_r1c1.jpg","Captura de tela 2026-07-23 185525.png","1","1","1080","1350","43,95","58,8"
"vitorino_185525_r1c2.jpg","Captura de tela 2026-07-23 185525.png","1","2","1080","1350","90,43","85,6"
"vitorino_185525_r1c3.jpg","Captura de tela 2026-07-23 185525.png","1","3","1080","1350","49,55","57,58"
"vitorino_185525_r1c4.jpg","Captura de tela 2026-07-23 185525.png","1","4","1080","1350","89,17","82,07"
"vitorino_185525_r2c1.jpg","Captura de tela 2026-07-23 185525.png","2","1","1080","1350","35,57","45,4"
"vitorino_185525_r2c2.jpg","Captura de tela 2026-07-23 185525.png","2","2","1080","1350","75,71","74,42"
"vitorino_185525_r2c3.jpg","Captura de tela 2026-07-23 185525.png","2","3","1080","1350","49,52","63,17"
"vitorino_185525_r2c4.jpg","Captura de tela 2026-07-23 185525.png","2","4","1080","1350","90,56","89,73"
"vitorino_185537_r1c1.jpg","Captura de tela 2026-07-23 185537.png","1","1","1080","1350","59,97","61,21"
"vitorino_185537_r1c2.jpg","Captura de tela 2026-07-23 185537.png","1","2","1080","1350","60,21","51,09"
"vitorino_185537_r1c3.jpg","Captura de tela 2026-07-23 185537.png","1","3","1080","1350","91,78","85,85"
"vitorino_185537_r1c4.jpg","Captura de tela 2026-07-23 185537.png","1","4","1080","1350","51,72","44,78"
"vitorino_185537_r2c1.jpg","Captura de tela 2026-07-23 185537.png","2","1","1080","1350","97,34","77,83"
"vitorino_185537_r2c2.jpg","Captura de tela 2026-07-23 185537.png","2","2","1080","1350","42,35","58,43"
"vitorino_185537_r2c3.jpg","Captura de tela 2026-07-23 185537.png","2","3","1080","1350","75,36","72,13"
"vitorino_185537_r2c4.jpg","Captura de tela 2026-07-23 185537.png","2","4","1080","1350","77,5","78,92"
"vitorino_185552_r1c1.jpg","Captura de tela 2026-07-23 185552.png","1","1","1080","1350","36,95","38,96"
